dataset,model,eer,eer_aggregation,far,frr,threshold_target_training_far,source,macro_eer_diagnostic_additional,validation_status,genuine_probe_coverage,observed_genuine_probes,expected_candidate_genuine_probes,genuine_not_accepted_rate_including_abstentions,missing_roles,calibration_scope,training_selected_method,is_training_selected,prior_dev_exposure,whole_cohort_additional_verification_fraction,margin_eer_diagnostic_additional,genuine_n,impostor_n,threshold_scope,selected_checkpoint,false_acceptances,false_rejections,dev_identities,paired_windows,windows_below_source_training_minimum25,api_boundary
beacon_nonlinear,behavior_plus_context_reference_lr,0.43209876543209874,pooled,0.08024691358024691,0.8641975308641975,0.01,beacon_nonlinear_results.json,,,,,,,,,,,,,,,,,,,,,,,
pointer,existing_scaled_manhattan,0.48606115107913667,pooled,0.018884892086330936,0.9820143884892086,0.01,pointer/results.json,0.38296328320758655,,,,,,,,,,,,,,,,,,,,,,
pointer,extra_1,0.5618255395683454,pooled,0.01933453237410072,0.9244604316546763,0.01,pointer/results.json,0.30093943000114104,,,,,,,,,,,,,,,,,,,,,,
pointer_sapimouse,scaled_manhattan@5,0.2617276887871854,pooled,0.08295194508009153,0.6052631578947368,0.01,pointer_sapimouse/results.json,0.22910011895457102,,,,,,,,,,,,,,,,,,,,,,
pointer_sapimouse,ocsvm:0.5:raw@5,0.21281464530892447,pooled,0.02231121281464531,0.8026315789473685,0.01,pointer_sapimouse/results.json,0.07733686169045757,,,,,,,,,,,,,,,,,,,,,,
pointer_sapimouse,ocsvm:0.5:enroll@5,0.18363844393592682,pooled,0.02402745995423341,0.618421052631579,0.01,pointer_sapimouse/results.json,0.07733686169045757,,,,,,,,,,,,,,,,,,,,,,
pointer_sapimouse_optimized,scaled_manhattan@5,0.2617276887871854,pooled,0.08295194508009153,0.6052631578947368,0.01,pointer_sapimouse_optimized/results.json,0.22910011895457102,,,,,,,,,,,,,,,,,,,,,,
pointer_sapimouse_optimized,ocsvm:0.5:raw@5,0.21281464530892447,pooled,0.02231121281464531,0.8026315789473685,0.01,pointer_sapimouse_optimized/results.json,0.07733686169045757,,,,,,,,,,,,,,,,,,,,,,
pointer_sapimouse_optimized,cosine@5,0.13872997711670476,pooled,0.016590389016018305,0.4342105263157895,0.01,pointer_sapimouse_optimized/results.json,0.08274540404627029,,,,,,,,,,,,,,,,,,,,,,
beacon,keyboard,0.3950617283950617,pooled,0.006172839506172839,1.0,0.01,beacon/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon,mouse,0.404320987654321,pooled,0.41975308641975306,0.35802469135802467,0.01,beacon/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon,behavior_fusion,0.441358024691358,pooled,0.024691358024691357,0.9876543209876543,0.01,beacon/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon,behavior_plus_context,0.43209876543209874,pooled,0.08024691358024691,0.8641975308641975,0.01,beacon/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon,untrained_equal_behavior_fusion,0.3950617283950617,pooled,0.11728395061728394,0.8888888888888888,0.01,beacon/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v1,typenet,0.37037037037037035,pooled,0.0,1.0,0.01,beacon-neural-v1/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v1,mouse,0.404320987654321,pooled,0.41975308641975306,0.35802469135802467,0.01,beacon-neural-v1/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v1,neural_behavior_fusion,0.3950617283950617,pooled,0.41975308641975306,0.345679012345679,0.01,beacon-neural-v1/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v1,hybrid_behavior_fusion,0.43209876543209874,pooled,0.024691358024691357,0.9876543209876543,0.01,beacon-neural-v1/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v2,typenet,0.35802469135802467,pooled,0.0,1.0,0.01,beacon-neural-v2/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v2,mouse,0.3950617283950617,pooled,0.41975308641975306,0.345679012345679,0.01,beacon-neural-v2/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v2,handcrafted_behavior,0.42901234567901236,pooled,0.024691358024691357,0.9753086419753086,0.01,beacon-neural-v2/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v2,sapimouse,0.5925925925925926,pooled,0.6666666666666666,0.5679012345679012,0.01,beacon-neural-v2/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v2,dual_neural,0.5925925925925926,pooled,0.5493827160493827,0.5925925925925926,0.01,beacon-neural-v2/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
beacon-neural-v2,hybrid_behavior_fusion,0.43209876543209874,pooled,0.043209876543209874,0.9259259259259259,0.01,beacon-neural-v2/dev_results.json,,,,,,,,,,,,,,,,,,,,,,,
hmog-paired-v1,joint,0.4516129032258065,pooled_observed_claims_incomplete_cohort,0.0,1.0,0.01,hmog/validation_v1/validation_complete.json,,infeasible,0.2012987012987013,31,154,1.0,"[{""missing_role"": ""dev_probe"", ""subject"": ""556357""}, {""missing_role"": ""dev_probe"", ""subject"": ""737973""}]",encoder-trained fit identities; disjoint unused enrollment sessions1–8 only,,,,,,,,,,,,,,,
hmog-paired-v1,key,0.26881720430107525,pooled_observed_claims_incomplete_cohort,0.0,0.9354838709677419,0.01,hmog/validation_v1/validation_complete.json,,infeasible,0.2012987012987013,31,154,0.987012987012987,"[{""missing_role"": ""dev_probe"", ""subject"": ""556357""}, {""missing_role"": ""dev_probe"", ""subject"": ""737973""}]",encoder-trained fit identities; disjoint unused enrollment sessions1–8 only,,,,,,,,,,,,,,,
hmog-paired-v1,imu,0.5053763440860215,pooled_observed_claims_incomplete_cohort,0.043010752688172046,0.967741935483871,0.01,hmog/validation_v1/validation_complete.json,,infeasible,0.2012987012987013,31,154,0.9935064935064936,"[{""missing_role"": ""dev_probe"", ""subject"": ""556357""}, {""missing_role"": ""dev_probe"", ""subject"": ""737973""}]",encoder-trained fit identities; disjoint unused enrollment sessions1–8 only,,,,,,,,,,,,,,,
pointer-sapimouse-znorm-comparison,cosine@5,0.13872997711670476,pooled,0.016590389016018305,0.4342105263157895,0.01,pointer_sapimouse_znorm_dev_v2/dev_complete.json,,complete_evaluation_only,,,,,,,cosine@5,True,Original SapiMouse DEV already evaluated; this is a frozen comparison extension.,,,,,,,,,,,,
pointer-sapimouse-znorm-comparison,znorm_cosine@5,0.11727688787185353,pooled,0.007437070938215103,0.6052631578947368,0.01,pointer_sapimouse_znorm_dev_v2/dev_complete.json,,complete_evaluation_only,,,,,,,cosine@5,False,Original SapiMouse DEV already evaluated; this is a frozen comparison extension.,,,,,,,,,,,,
type2branch-one-capture-dev,train_selected_length_model,0.13932164881531967,pooled_raw_score_discrete_conditional,0.09136643946770528,0.3037974683544304,0.01,type2branch_capture_dev_evaluation_v1/report.json,,frozen_capture_dev_evaluation_complete,1.0,79,79,,,,,,"[""Original fixed1000event DEV preparation failed because p004 S2 has38publishedrows"", ""Earlier DEV preparation parsed prescribed non-test prefixes and prepared79galleries; no completed encoder DEV scoring"", ""Other KeyRecs experiments already used this DEV split; this is not pristine or final-test evaluation"", ""TRAIN short-length sensitivity motivated paired feature-prefix augmentation and raw-prefix calibration""]",0.3037974683544304,0.13932164881531967,79,6162,Frozen per exact calibrated probe length,"{""batch_stream_sha256"": ""5d01231341531ebe6bb54f09ca6ee6980daee303c6a506da88eb32b2715343ea"", ""checkpoint"": ""/home/ananthakrishnan/code/hackathon/research/benchmarks/type2branch_length_train_mixed_v1/epoch_004-7"", ""epoch"": 4, ""kind"": ""checkpoint"", ""mean_selection_eer"": 0.2001041666666667, ""mean_selection_frr_at_1pct"": 0.9046875, ""peak_rss_mib"": 2014.7734375, ""per_length"": {""100"": {""eer"": 0.1564583333333333, ""oracle_frr_at_far_1pct"": 0.78125}, ""25"": {""eer"": 0.27395833333333336, ""oracle_frr_at_far_1pct"": 0.99375}, ""50"": {""eer"": 0.195, ""oracle_frr_at_far_1pct"": 0.9375}, ""75"": {""eer"": 0.17500000000000002, ""oracle_frr_at_far_1pct"": 0.90625}}, ""seconds"": 896.8009632680041, ""updates"": 500}",,,,,,
beacon-type2branch-paired-dev,typenet,0.35802469135802467,pooled_discrete,0.0,1.0,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,0,81,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
beacon-type2branch-paired-dev,sapimouse,0.5925925925925926,pooled_discrete,0.6666666666666666,0.5679012345679012,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,108,46,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
beacon-type2branch-paired-dev,handcrafted_behavior,0.42901234567901236,pooled_discrete,0.024691358024691357,0.9753086419753086,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,4,79,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
beacon-type2branch-paired-dev,old_dual_neural,0.5925925925925926,pooled_discrete,0.5493827160493827,0.5925925925925926,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,89,48,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
beacon-type2branch-paired-dev,old_hybrid,0.38271604938271603,pooled_discrete,0.4567901234567901,0.30864197530864196,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,74,25,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
beacon-type2branch-paired-dev,type2branch,0.43209876543209874,pooled_discrete,0.11728395061728394,0.8024691358024691,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,19,65,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
beacon-type2branch-paired-dev,type2branch_pointer,0.5925925925925926,pooled_discrete,0.6481481481481481,0.5925925925925926,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,105,48,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
beacon-type2branch-paired-dev,type2branch_hybrid,0.4074074074074074,pooled_discrete,0.24691358024691357,0.6790123456790124,0.01,beacon_type2branch_dev_evaluation_v1/report.json,,paired_dev_evaluation_complete,,,,,,,,,True,,,81,162,,,40,55,3,140,81,Frozen fusion on features from offline encoders; not live browser or encoder replay
